 112	  11.01.2020	  01:39:38	    temperatur	  24.600000381469727	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 113	  11.01.2020	  01:40:39	    temperatur	  24.600000381469727	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 114	  11.01.2020	  01:41:39	    temperatur	  24.5	    feuchtigkeit	  44.0	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 115	  11.01.2020	  01:42:40	    temperatur	  24.5	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 116	  11.01.2020	  01:43:40	    temperatur	  24.5	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 117	  11.01.2020	  01:44:41	    temperatur	  24.5	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 118	  11.01.2020	  01:45:41	    temperatur	  24.5	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 119	  11.01.2020	  01:46:42	    temperatur	  24.5	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 120	  11.01.2020	  01:47:43	    temperatur	  24.5	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 121	  11.01.2020	  01:48:43	    temperatur	  24.5	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 122	  11.01.2020	  01:49:44	    temperatur	  24.5	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 123	  11.01.2020	  01:50:44	    temperatur	  24.399999618530273	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 124	  11.01.2020	  01:51:45	    temperatur	  24.399999618530273	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 125	  11.01.2020	  01:52:45	    temperatur	  24.399999618530273	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 126	  11.01.2020	  01:53:46	    temperatur	  24.399999618530273	    feuchtigkeit	  44.0	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 127	  11.01.2020	  01:54:47	    temperatur	  24.399999618530273	    feuchtigkeit	  44.29999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 128	  11.01.2020	  01:55:47	    temperatur	  24.399999618530273	    feuchtigkeit	  44.099998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 129	  11.01.2020	  01:56:48	    temperatur	  24.399999618530273	    feuchtigkeit	  44.400001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 130	  11.01.2020	  01:57:48	    temperatur	  24.399999618530273	    feuchtigkeit	  44.20000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 131	  11.01.2020	  01:58:49	    temperatur	  24.399999618530273	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 132	  11.01.2020	  01:59:49	    temperatur	  24.399999618530273	    feuchtigkeit	  43.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 133	  11.01.2020	  02:00:50	    temperatur	  24.399999618530273	    feuchtigkeit	  43.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 134	  11.01.2020	  02:01:51	    temperatur	  24.399999618530273	    feuchtigkeit	  43.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 135	  11.01.2020	  02:02:51	    temperatur	  24.399999618530273	    feuchtigkeit	  43.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 136	  11.01.2020	  02:03:52	    temperatur	  24.299999237060547	    feuchtigkeit	  43.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 137	  11.01.2020	  02:04:52	    temperatur	  24.299999237060547	    feuchtigkeit	  44.400001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 138	  11.01.2020	  02:05:53	    temperatur	  24.299999237060547	    feuchtigkeit	  43.900001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 139	  11.01.2020	  02:06:54	    temperatur	  24.299999237060547	    feuchtigkeit	  43.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 140	  11.01.2020	  02:07:54	    temperatur	  24.299999237060547	    feuchtigkeit	  43.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 141	  11.01.2020	  02:08:55	    temperatur	  24.299999237060547	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 142	  11.01.2020	  02:09:55	    temperatur	  24.299999237060547	    feuchtigkeit	  43.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
